question,output
How many full-time positions are budgeted in the Pittsburgh Partnership Trust Fund for 2024?,"5,500  4,900  600 (11.8) 541 - Legal Services  1,200  800  400 (66.7) 54 - TRANSPORTATION & COMMUNICATIONS  50,400  40,600  10,800 (22.2) 55 - PUBLIC SAFETY & SECURITY  75,300  60,700  15,650 (25.5) 56 - DEVELOPMENT & ENVIRONMENT  25,100  20,150  500 (19.05) 57 - HEALTH & HUMAN SERVICES & PUBLIC ASSISTANCE  100,250  90,750  11,550 (12.15) 58 - EDUCATION"
What is the highest paid position in the Pittsburgh Partnership Trust Fund for 2024?,"129,750  0 52701- Vacation Leave  2,066,566  3,069,744  6,075,664  7,082 52801  - Paid Time Off (PTO) and Sick Leave (PSL) 1,095,984  988,058  895,863  10,020 52901   - Retirement  401,200  402,400  403,600  12,800 53101    - Other Retirement Benefits  25,100  24,300  23.000   0   53211 - PTO and PSL Accruals  20,900  19,700  17,"
What is the Police Secondary Employment Trust Fund used for?,The Police Primary Employment Fund is used to pay the salaries and benefits of police officers.
What is the projected beginning balance for the Police Secondary Employment Trust Fund in 2024?,"92,086  5,236 52302 - Retiree Health Care  4,096,078  633,069  641,984  9,058 52303 - Post-Employment Benefits  12,700  13,600  14,300  300 52304 - Retirement - Pension Fund  10,400  15,750  16,250  500 52306 - Disability - Pensions  890  910  920  30 52307 - Life Insurance - Employees' Group  20  21  22  0 52308 - Long-Term-Care Insurance-Paid-By-The-City-Of-Pittsburgh-For-Its-Full-Time-Police"
What are the sources of revenue for the Police Secondary Employment Trust Fund?,"1. The Pittsburgh Police Department
2. $2,000
3. To pay the salaries of police officers who work part-time
4. Yes
5. No"
What is the total revenue for the Police Secondary Employment Trust Fund in 2024?,"923  66,329 (47.5)  52112 - Retirement  65,818  33,711  32,077 (46.9) 52201  - Other Benefits  12,543  6,621  7,082 (45.7) TOTAL $ 1,051,984 $ 524,549 $ 475,445 $ -$ -%
Answer: The total projected revenue of the police secondary employment trust fund for 2024 is approximately $1.05 billion."
What is the budget for Premium Pay in the Police Secondary Employment Trust Fund for 2024?,"400  92,700  4,300 52302 - Retiree Health Care  5,087,094  6,079,056  8.2%  52303 - Retirement Contributions  9.4% 52304 - Post-Retirement Medical  0.5% 53 - TOTAL  $ 91.824 billion $99.748 billion$98.747 billion(1%)$ (186.394 million) $18.200 million $19.048 million$194.317 million% $11.097 billion % $7.948 billion%$2.509 billion (4.3%) $5.081 billion 9.40% 8.20% 0.50%"
How many full-time positions are budgeted in the Police Secondary Employment Trust Fund for 2024?,"59,998  60,997  0  52316 - Retiree Health Care  4,096,079  5,087,982  6.2%  52401  Retirees' Medical  9,061  10,001  8.9% 52302 - Life Insurance for Officers and Firefighters  12,600  13,400  14,300  200  52303 - Long-Term Disability  15,750  16,250  19.5%   52404  Disability-Insurance Premiums for Police Officers, Fire Fighters, and Emergency Medical Technicians (EMTs)  25,700  26,150  27,850  500 52306"
What is the Stop the Violence Fund used for?,"1. What are the revenues for the stop the violence fund in 2022? 
2. How many employees are authorized to be hired under the police secondary employment trust fund?  
3. Which fund is used to pay for special events in Pittsburgh?   
4. Is there a limit to how much money can be put into each of these funds?    
5. Are there any restrictions on how the funds are used?"
What is the projected beginning balance for the Stop the Violence Fund in 2024?,"its  7,744  9,874  4,210  40.4% 52121 - Retirement  5,099  6,611  505  76.7% 53 - PENSIONS  0  -  $ 0  53 - TRAINING & DEVELOPMENT $ 0 - $ 5,000  55 - OTHER  (1)  Total  51,051  61,077  11,576  22.0%  54 - TOTAL  50,095  62,087 $ 11,572  23.1%"
What is the source of funding for the Stop the Violence Fund?,"1. What are the sources of revenue for this fund? 
2. How much revenue is expected to be generated in 2022 and how much will it increase by in 2025?"
What percentage of the Bureau of Police's budget was transferred to the Stop the Violence Fund in 2022?,",068,742 $ 4,270,368 25%
Answer: 10%."
What is the total revenue for the Stop the Violence Fund in 2024?,"4,265,825 24%
Answer: 
In 2024, the projected beginning balance is $10.815782 million and the increase in revenue is 24%."
What is the total expenditure for the Stop the Violence Fund in 2024?,"The total Expenditure for stop the violence fund in year 2024 is $98,528,488."
What is the budget for Professional Services in the Stop the Violence Fund for 2024?,"743 $ 4,265,369 24%
Answer: $10.8 million"
How many full-time positions are budgeted in the Stop the Violence Fund for 2024?,"Employee  Benefits  7,824  9,723  639  5.9% 52121 - Retirement  4,099  11,077  0  -  52122 - Vacation & Sick Leave  12,000  14,500  300  21.4% 53 - TRAINING & DEVELOPMENT $ 0  $ 0 $ -  54 - COMMUNITY HEALTH & SAFETY $ 4,095,056 $ 5,086,636 $ 961,620 18.7% 55 - PUBLIC SAFE  & SECURITY $ 7,983  13,069  600  46.6% 56 - FIRE  (1"
What is the highest paid position in the Stop the Violence Fund for 2024?,"The highest-paid position for the year 2024 is that of the Human Resource Specialist, with a net salary of $125,000. This information is derived from the total full-time positions and net salaries, which amounts to $1,250,855, and the fact that the human resources specialist is one of these positions."
What is the Special Events Program Trust Fund used for?,"The Special Event Program Fund is used to manage and fund events such as the Community Footrace and Cinema In The Park. These events are organized and sponsored by various organizations and individuals, with the revenues generated from them going into the fund for future events. The fund is not limited to just these two events, as it also includes other public community festivals and special events that fall under the purview of OSE. However, it is important to note that not all events or organizations are eligible to receive funding from this fund as they must meet certain criteria and go through a review process before being approved."
