question,output
What type of cinema does the JFilm Festival feature?,
What marks the beginning of Pride month in Pittsburgh?,kick off pride month with a celebration
What performances are featured at Pittsburgh Pride?,
How many artists and musicians are featured at the Dollar Bank Three Rivers Arts Festival?,400
How long does the Dollar Bank Three Rivers Arts Festival run?,22 - hour
Is there an admission fee for the Three Rivers Arts Festival?,free
What is the focus of 3 Rivers Comicon?,comics and their creators
When did 3 Rivers Comicon begin?,2016
What is the Allegheny County Music Festival a celebration of?,
How many days does the Allegheny County Music Festival last?,three
Is the Allegheny County Music Festival free to attend?,
What is DOORS OPEN Pittsburgh designed to help attendees discover?,pittsburgh welcome booth
What types of buildings can be explored during DOORS OPEN Pittsburgh?,"sacred places, government offices, theaters, artists spaces and more"
What makes Anthrocon one of the largest conventions of its kind in the world?,this four - day celebration takes over the david l. lawrence convention center and the cultural district with the record - breaking fursuit parade and block party
What unique parade takes place during Anthrocon?,fursuit parade
Where is Pittsburgh's Independence Day celebration held?,historic point state park
What time does the Independence Day celebration at Point State Park run?,"july 4th! enjoy a family - style picnic at historic point state park, complete with patriotic music and food vendors from 4 to 10 pm"
What is America's Mile and where is it set?,against pittsburgh ' s breathtaking north shore
What different types of heats does America's Mile offer?,"inclusive move mile, the brave heroes ' mile, and the competitive aspire mile"
What makes the Pittsburgh Vintage Grand Prix unique compared to other vintage races?,"tight turns, elevation changes and natural obstacles like stone walls, curbs, manhole covers and telephone poles"
Why is the Pittsburgh Vintage Grand Prix racecourse considered challenging by drivers?,"tight turns, elevation changes and natural obstacles like stone walls, curbs, manhole covers and telephone poles"
What type of obstacles are found on the Pittsburgh Vintage Grand Prix racecourse?,"tight turns, elevation changes and natural obstacles like stone walls, curbs, manhole covers and telephone poles"
How many days does the Deutschtown Music Festival last?,10
What is the focus of the Deutschtown Music Festival?,signature festival
Where is the Deutschtown Music Festival held?,northside music festival a look at the signature festival that helps define what makes our deutschtown neighborhood so special see below for a list of all 90 unique neighborhoods that make up pittsburgh
Is there an admission fee for the Deutschtown Music Festival?,
What type of convention is Tekko?,anime convention
Where is Tekko held?,pittsburgh
What types of activities are available at Tekko?,
What is central to all that is Picklesburgh?,a massive array of dill - ectable products and foods
What types of performances can be found at Picklesburgh?,live music performances
What unique contest is held at Picklesburgh?,"pickle juice drinking contest, and an abundance of pickle - themed apparel, merch, and much much more! picklesburgh is the destination for all things pickled"
What is the name of the National Aviary's party held in July?,night in the tropics!
What type of atmosphere does Night in the Tropics create?,tropical
What food options are available at Night in the Tropics?,delicious signature island cocktails
What recognition has Barrel and Flow Fest received according to USA Today?,second best
What is unique about Barrel and Flow Fest compared to other beer festivals?,second best in the nation
What does Barrel and Flow Fest showcase?,the country ’ s most talented black brewers
What is the purpose of Rock Reggae & Relief?,"brings reggae tunes, unity and feel - good vibes to the heart of downtown pittsburgh while offering a helping hand to our neighbors in need"
Where is Rock Reggae & Relief held?,downtown pittsburgh
What all-American dessert is celebrated in Latrobe?,great american banana split festival
How long has the Banana Split Festival been a staple in Westmoreland County?,2013
What activities are featured at the Banana Split Festival?,
How many days does Little Italy Days last?,four
Where is Little Italy Days held?,liberty ave
Is there an admission fee for Little Italy Days?,
What time period does the Renaissance Festival recreate?,"august 17, 2024 - october 20, 2024 featuring fine glassware, ceramics, metalwork, painting, weaving, and much more, treasured ornament evokes the rich history of the islamic world. this exhibition looks at the continuum of self - taught art across time and place from the earliest days of the founding of the united states to the present"
How often is Restaurant Week held in Pittsburgh each year?,winter and summer
When was the Pittsburgh Soul Food Festival established?,2019
How many vendors participate in the Pittsburgh Soul Food Festival?,
What does the Pittsburgh Soul Food Festival honor?,
What is the focus of the ReelAbilities Film Festival?,film pittsburgh
What besides films is featured at the ReelAbilities Film Festival?,artwork and special guests
