question,output,correct_answer
Who is the quarterback mentioned as having the second most victories in playoffs among those present in the 2024 postseason?,,Russell Wilson
How many playoff wins does Wilson have according to the text?,41,Nine victories
Who has more playoff wins than Wilson according to the text?,who has more playoff wins than wilson according to the text? ( karl roser / pittsburgh steelers ) pittsburgh steelers quarterback russell wilson ( 3 ) during a regular season game between the pittsburgh steelers and the baltimore ravens,Patrick Mahomes
How many wins does Mahomes have in the playoffs according to the text?,,Fifteen wins
What was Allegheny County Democratic Committee's vote difference between Corey O'Connor and Ed Gainey for Pittsburgh mayor?,,Four votes
What journalist was mentioned as discussing fear in public and private sectors because of Trump's threats?,lynn,Lynn Cullen
Who founded the Pittsburgh Steelers according to the text?,,"Arthur J. Rooney, Sr."
When was the Pittsburgh Steelers founded?,1933,1933
What is mentioned as the current president of the Pittsburgh Steelers?,art rooney ii,Art Rooney II
Who was the late Steelers Chairman mentioned in the text?,dan rooney,Dan Rooney
What is the relationship between Art Rooney II and Dan Rooney?,the first member of the rooney family to visit northern ireland,Art Rooney II is Dan Rooney's son
"What is described as ""not typical"" by Dubas that they ""won't allow to become typical""?",,Being sellers at the trade deadline
What position does Erik Karlsson play for the Penguins?,,Defenseman
What position does T.J. Watt play?,,Linebacker
What is the name of the restaurant mentioned as celebrating its 50th Fat Tuesday?,le mardi gras by matt petras yinzer yums of yesteryear,Le Mardi Gras
What former Steelers player founded the Best of the Batch Foundation?,charlie batch,Charlie Batch
What year was the Best of the Batch Foundation founded?,1999,1999
Where is the hometown of Charlie Batch?,"homestead, pa","Homestead, PA"
How many programs does the Best of the Batch Foundation offer?,over 12,Over 12 programs
How many Western Pennsylvania counties does the Best of the Batch Foundation serve?,eight,Eight Western Pennsylvania counties
What was the name of Jerome Bettis' foundation?,jerome bettis bus stops here foundation,The Jerome Bettis Bus Stops Here Foundation
When was Jerome Bettis' foundation created?,1997,1997
What is the purpose of Jerome Bettis' foundation?,provide opportunities for inner - city youth to succeed and become productive individuals in today ' s society,To provide opportunities for inner-city youth to succeed and become productive individuals
What disease does Santonio Holmes' son suffer from?,sickle cell disease,Sickle Cell Disease (SCD)
What is the name of Santonio Holmes' foundation?,iii and long foundation,III and Long Foundation
Who founded Adventures in Training with a Purpose?,jon kolb,Jon Kolb
What position did Jon Kolb play for the Steelers?,,Offensive lineman
What specialized division of ATP focuses on training veterans and military personnel?,aurelius,Aurelius
Who serves as an ambassador to Convoy Nation?,,Vance McDonald
What position did Vance McDonald play for the Steelers?,convoy of hope former steelers te,Tight end
In what year did the Steelers launch the Chuck Noll Foundation?,2016,2016
What is the purpose of the Chuck Noll Foundation?,to support continued research and education,To support continued research and education regarding brain injuries and treatment of sports-related concussions
What former Steelers running back established the 39 Legends Foundation?,willie parker,Willie Parker
What is the purpose of the 39 Legends Foundation?,preserve and expand the resources of art and science as agents of personal growth and social advancement,"To provide assistance, tools and inspiration to underprivileged children"
What condition was Joey Porter's daughter born with?,severe autism,Severe autism
What is the name of the campus opened by Joey and Christy Porter in Pittsburgh's Sheraden neighborhood?,eden hall farm,Jasmine Nyree Campus
What injury did Ryan Shazier suffer?,,Spinal cord injury (SCI)
What is the name of Ryan Shazier's foundation?,thea ryan shazier fund for spinal rehabilitation,Ryan Shazier Fund for Spinal Rehabilitation
What is the mission of the Ryan Shazier Fund for Spinal Rehabilitation?,"giving those with sci and their caregivers the support, resources and funding they need to live independent and meaningful lives","To give those with SCI and their caregivers the support, resources and funding they need to live independent and meaningful lives"
What is the title of Ryan Shazier's book?,walking miracle,"""Walking Miracle"""
Who created the Donnie Shell Scholarship Foundation?,donnie shell and his wife paulette,Donnie Shell and his wife Paulette
What is the purpose of the Donnie Shell Scholarship Foundation?,"to fill in the financial gap for students attending his alma mater, south carolina state university","To fill in the financial gap for students attending his alma mater, South Carolina State University"
In what year was the John Stallworth Foundation created?,1980,1980
How much has the John Stallworth Foundation awarded in scholarship awards since its inception?,"$ 550, 000","More than $550,000"
What player did Tristan Jarry hand the player of the game helmet to after an overtime win against Vegas?,erik karlsson,Erik Karlsson
What did Erik Karlsson say about Jarry's play?,,"""I love that sh*t. He was awesome tonight."""
"According to Mike Sullivan, how can Jarry's handles be described?",aspectaculara,"""simple and efficient"""
What did Karlsson say about Jarry's belief in himself?,he ' s the same person he was since last we saw him,"Karlsson said Jarry ""hasn't changed one bit"" and ""believes in himself"""
Who is the general manager of the Penguins mentioned in the text?,,Kyle Dubas
What three assets does Kyle Dubas focus on according to the text?,they wonat necessarily turn around and spend all of their assets this summer,"Assets, flexibility, and cap space"
How many draft picks does Pittsburgh have compared to other NHL teams?,three,No team has more draft picks or selections in the first three rounds over the next three NHL Drafts than Pittsburgh
What key veteran players are mentioned as part of the Penguins core?,,"Sidney Crosby, Evgeni Malkin, Kris Letang, Erik Karlsson, Bryan Rust, and Rickard Rakell"
How many yards did Derrick Henry rush for in the game against the Steelers?,,162 yards
What was the score at halftime when the Steelers played the Ravens?,,17-10 in favor of the Ravens
What player intercepted a pass from Lamar Jackson in the Steelers vs. Ravens game?,darius slay,Minkah Fitzpatrick
What happened two plays after Minkah Fitzpatrick's interception?,,"Russell Wilson was pressured, threw a bad pass and Marlon Humphrey completed a pick six"
How many capturas (sacks) did the Ravens' defense have against Russell Wilson?,60,3
What date will the Steelers face the Chiefs according to the Spanish text?,,December 25 (Christmas Day)
In which stadium do the Pittsburgh Steelers play their home games?,paycor stadium,Acrisure Stadium
What was the final score of the Steelers vs. Chiefs game?,,29-10 in favor of the Chiefs
What did Coach Tomlin say was a key reason for the loss against the Chiefs?,,"Not finding fluidity, not converting important plays, and not scoring enough"
