question,output,correct_answer
On what date is the Penguins game against the New York Islanders?,"Thursday, April 17, 2025 vs. Washington Capitals","Tuesday, March 18, 2025"
"What opponent will the Penguins face on Friday, March 21, 2025?","St. Louis Blues Saturday, March 15, 2025 vs. New Jersey Devils",Columbus Blue Jackets
"What special event is scheduled for Saturday, March 15, 2025?","2:00 PM - 4:00 PM Saturday, March 15, 2025",Pride Night
What team will the Penguins play for the Faith Night theme?,St. Louis Blues and the Pittsburgh Penguins,New Jersey Devils
When is the Penguins' game against the Chicago Blackhawks?,"Thursday, March 13, 2025 vs. St. Louis Blues","Tuesday, April 8, 2025"
What is the name of the Penguins' official website?,Founding Partners pittsburghpenguins.com,pittsburghpenguins.com
What is the name of the section on the website that covers Steelers history?,YinzChat.  2025 Pittsburgh Steelers,Steelers History
What team did the Steelers play in the first-ever regular season game at Croke Park in Dublin?,The Pittsburgh Steelers hosted their first-ever Watch Party,"Chicago Bears (in 1997, a preseason game)"
In what town in Northern Ireland did the Rooney family originate?,Newry in Northern Ireland to the United States,Newry
Who was asked to serve as United States Ambassador to Ireland by President Barack Obama?,Dan Rooney was asked to serve as United States Ambassador to Ireland,Dan Rooney
When were the Pittsburgh Steelers awarded rights to expand their brand and activities in Ireland?,"19th century, where the family ultimately settled in Pittsburgh","May 23, 2023"
When did the Steelers host their first-ever Watch Party at Croke Park in Dublin?,"Week 11 against the Cleveland Browns, on Sunday, Nov. 19, 2023","Week 11 against the Cleveland Browns, on Sunday, Nov. 19, 2023"
What is the capacity of Croke Park stadium?,"82,300 and can accommodate all types of events","82,300"
What is the expiration date of pre-paid Visa cards available from reverse ATMs at PPG Paints Arena?,Can I cancel my Opus Pass before it expires?,No expiration date
"According to the Fan Code of Conduct, when should fans wait before leaving or returning to their seats?",wait until there is a stoppage of play,During a stoppage of play
What restaurant in Pittsburgh celebrates its 50th Fat Tuesday?,The annual February event allows shoppers in Pittsburgh's funky South Side neighborhood to sample soups from 20 local restaurants,Le Mardi Gras
"What is one of the topics discussed in the ""FREE WILL ASTROLOGY"" column?",By Rob Brezsny FREE WILL ASTROLOGY,"The spiritual powers of light and vast darkness, and the history of computers and cars"
"Who is the author of the ""FREE WILL ASTROLOGY"" column?","John Edgar Wideman, who grew up in Pittsburgh",Rob Brezsny
In what district is Citizens Live at the Wylie located?,"Central Business District Signal Improvements 3,560,565 1,467,399 2,093,166 6029400265PA",Lower Hill District
What is the size of the Citizens Live at the Wylie venue in square feet?,220. How many square feet is the Citizens Live at the Wylie venue?,"98,500 square-foot"
"According to the text, what ethnic holiday once a quiet day of reflection became a full-throttle display of pride in cities like Pittsburgh?","St. Patrick's Day Parade, Harp & Fiddle, Cork Harbour Pub, AOH Club, Monterey Pub",St. Patrick's Day
What did Lynn Cullen talk about regarding the Trump administration?,The Ultimate Guide to Matching Family Outfits for Every Occasion,The breathtaking incompetence of the Trump administration
What is the name of the podcast featuring Ãlvaro Martín and Arturo Carlos?,The Mike Tomlin Podcast A game day original!,El Podcast Inmaculado
What NFL team does the article mention as having lost to the Pittsburgh Steelers during a Wild Card matchup?,Pittsburgh Steelers cayeron en casa 29-10 ante los Kansas City Chiefs,Baltimore Ravens
Who is the quarterback mentioned as having the second most victories in playoffs among those present in the 2024 postseason?,Larry Ogunjobi (99) during a postseason Wild Card game between the Pittsburgh Steelers and the Baltimore Ravens,Russell Wilson
How many playoff wins does Wilson have according to the text?,4 – 3  sbado,Nine victories
Who has more playoff wins than Wilson according to the text?,Patrick Mahomes tiene ms con quince,Patrick Mahomes
How many wins does Mahomes have in the playoffs according to the text?,3 sacks (60) and takeaways,Fifteen wins
What was Allegheny County Democratic Committee's vote difference between Corey O'Connor and Ed Gainey for Pittsburgh mayor?,Democratic machine superseded the decaying Republican machine.,Four votes
What journalist was mentioned as discussing fear in public and private sectors because of Trump's threats?,Lynn discussed the fear rampant in the public and private sectors because of Trump's threats of vengeance,Lynn Cullen
Who founded the Pittsburgh Steelers according to the text?,"Arthur J. Rooney, Sr.","Arthur J. Rooney, Sr."
When was the Pittsburgh Steelers founded?,1933; 1934; 1935; 1936; 1937; 1940; 1941; 1942; 1943; 1944; 1945; 1946 1947; 1948 1949 1950 1951 1952 1953 1953 1954 1955 1956 1957 1958 1959 1960 1961 1962 1963 1964 1965 1966 1967 1967 1968 1969 1970 1970 1971 1972 1973 1974 Super Bowl X 1976 1977 1978 Superbowl 1985 1981 1982 1983 1984 1985 1986 1987 1988 1989 1990 1990 1991 1992 1993 1994 1995 Super bowl xXX 1996 1997 1998 1999 2000 2001 2002 2003 2004 2005,1933
What is mentioned as the current president of the Pittsburgh Steelers?,"Daniel M. Rooney, padre de Art Rayne",Art Rooney II
Who was the late Steelers Chairman mentioned in the text?,"Arthur J. Rooney, Sr.",Dan Rooney
What is the relationship between Art Rooney II and Dan Rooney?,former member of the Rooney Family to visit Northern Ireland,Art Rooney II is Dan Rooney's son
"What is described as ""not typical"" by Dubas that they ""won't allow to become typical""?",a twenty-minute meal that serves up plenty of flavor and crunch,Being sellers at the trade deadline
What position does Erik Karlsson play for the Penguins?,PG against Marc-Andre Fleury,Defenseman
What position does T.J. Watt play?,WR in the Flag Football game at 2025,Linebacker
What is the name of the restaurant mentioned as celebrating its 50th Fat Tuesday?,"Le Mardi Gras, Inc.",Le Mardi Gras
What former Steelers player founded the Best of the Batch Foundation?,"Charlie Batch to give back to his hometown of Homestead, Pa",Charlie Batch
What year was the Best of the Batch Foundation founded?,1999 by former Steelers Quarterback Charlie Batch,1999
Where is the hometown of Charlie Batch?,"Homestead, Pa. It offers over 12 programs to school-aged children","Homestead, PA"
How many programs does the Best of the Batch Foundation offer?,"over 12 programs to school-aged children, annually serving over 3,800 children",Over 12 programs
How many Western Pennsylvania counties does the Best of the Batch Foundation serve?,eight Western Pennsylvania counties. It offers over 12 programs to school-aged children,Eight Western Pennsylvania counties
What was the name of Jerome Bettis' foundation?,Jerome Bettis Bus Stops Here Foundation,The Jerome Bettis Bus Stops Here Foundation
When was Jerome Bettis' foundation created?,1997 by Pro Football Hall of Fame running back Jerome Bettis,1997
What is the purpose of Jerome Bettis' foundation?,provide opportunities for inner-city youth to succeed and become productive individuals in today's society,To provide opportunities for inner-city youth to succeed and become productive individuals
What disease does Santonio Holmes' son suffer from?,Sickle Cell Disease (SCD) and SCD,Sickle Cell Disease (SCD)
What is the name of Santonio Holmes' foundation?,Santonio Holmes â III and Long Foundation,III and Long Foundation
Who founded Adventures in Training with a Purpose?,former Steelers offensive lineman and assistant coach,Jon Kolb
What position did Jon Kolb play for the Steelers?,"linebacker Eku Leota (53), Pittsburgh Steelers defensive tackle Larry Ogunjobi",Offensive lineman
What specialized division of ATP focuses on training veterans and military personnel?,Adventures in Training with a Purpose,Aurelius
